1,1,210.13,250.78,91.79,38.69,1,1,1
1,2,129.07,331.73,126.86,57.54,1,1,1
1,3,732.80,265.60,68.20,39.40,1,1,1
2,1,210.13,250.81,91.81,38.74,1,1,1
2,2,102.19,334.29,131.98,59.67,1,1,1
2,3,720.00,268.16,70.33,37.69,1,1,1
3,1,210.13,250.83,91.83,38.81,1,1,1
3,2,75.31,336.85,137.10,61.80,1,1,1
3,3,707.20,270.72,72.47,35.99,1,1,1
4,1,210.13,250.85,91.85,38.88,1,1,1
4,2,49.71,340.69,141.37,63.08,1,1,1
4,3,692.48,272.43,75.03,35.98,1,1,1
5,1,210.13,250.87,91.87,38.94,1,1,1
5,2,25.39,345.81,144.78,63.51,1,1,1
5,3,675.84,273.28,78.01,37.69,1,1,1
6,1,210.13,250.89,91.89,39.01,1,1,1
6,2,1.00,350.93,148.27,63.94,1,1,1
6,3,659.20,274.13,81.00,39.40,1,1,1
7,1,210.13,250.91,91.92,39.07,1,1,1
7,2,1.00,353.07,123.52,66.92,1,1,1
7,3,647.68,275.84,78.87,40.68,1,1,1
8,1,210.13,250.93,91.94,39.14,1,1,1
8,2,1.00,355.20,98.77,69.91,1,1,1
8,3,636.16,277.55,76.73,41.96,1,1,1
9,1,210.13,250.95,91.96,39.20,1,1,1
9,2,1.00,359.04,74.24,70.33,1,1,1
9,3,622.29,279.89,76.74,42.18,1,1,1
10,1,210.13,250.98,91.98,39.26,1,1,1
10,2,1.00,364.59,49.92,68.20,1,1,1
10,3,606.08,282.88,78.87,41.32,1,1,1
11,1,210.13,251.00,92.00,39.32,1,1,1
11,2,1.00,370.13,25.60,66.07,1,1,1
11,3,589.87,285.87,81.00,40.46,1,1,1
12,1,210.13,251.02,92.02,39.39,1,1,1
12,3,574.51,288.43,82.28,39.61,1,1,1
13,1,210.13,251.04,92.04,39.45,1,1,1
13,3,559.15,290.99,83.56,38.76,1,1,1
14,1,210.13,251.06,92.06,39.52,1,1,1
14,3,543.36,292.69,85.69,39.83,1,1,1
15,1,210.13,251.08,92.09,39.58,1,1,1
15,3,527.15,293.55,88.68,42.81,1,1,1
16,1,210.13,251.10,92.11,39.65,1,1,1
16,3,510.93,294.40,91.67,45.80,1,1,1
17,1,210.13,251.13,92.13,39.70,1,1,1
17,3,492.16,298.24,93.80,46.65,1,1,1
18,1,210.13,251.15,92.15,39.77,1,1,1
18,3,473.39,302.08,95.93,47.51,1,1,1
19,1,210.13,251.17,92.17,39.84,1,1,1
19,3,456.11,305.28,97.42,47.93,1,1,1
20,1,210.13,251.19,92.19,39.90,1,1,1
20,3,440.32,307.84,98.28,47.93,1,1,1
21,1,210.13,251.21,92.21,39.97,1,1,1
21,3,424.53,310.40,99.14,47.93,1,1,1
22,1,210.13,251.23,92.24,40.03,1,1,1
22,3,405.76,313.39,102.12,48.36,1,1,1
23,1,210.13,251.25,92.26,40.10,1,1,1
23,3,386.99,316.37,105.10,48.79,1,1,1
24,1,210.13,251.27,92.28,40.16,1,1,1
24,3,367.57,319.36,107.24,50.07,1,1,1
25,1,210.13,251.30,92.30,40.22,1,1,1
25,3,347.52,322.35,108.52,52.20,1,1,1
26,1,210.13,251.32,92.32,40.28,1,1,1
26,3,327.47,325.33,109.80,54.34,1,1,1
27,1,210.13,251.34,92.34,40.35,1,1,1
27,3,306.99,328.32,111.93,55.19,1,1,1
28,1,210.13,251.36,92.36,40.41,1,1,1
28,3,286.51,331.31,114.06,56.04,1,1,1
29,1,210.13,251.38,92.38,40.48,1,1,1
29,3,266.03,334.72,116.20,57.32,1,1,1
30,1,210.13,251.40,92.41,40.54,1,1,1
30,3,245.55,338.56,118.33,59.03,1,1,1
31,1,210.13,251.42,92.43,40.61,1,1,1
31,3,225.07,342.40,120.46,60.73,1,1,1
32,1,210.13,251.45,92.45,40.66,1,1,1
32,3,201.17,344.96,124.31,63.72,1,1,1
33,1,210.13,251.47,92.47,40.73,1,1,1
33,3,177.28,347.52,128.15,66.71,1,1,1
34,1,210.13,251.49,92.49,40.80,1,1,1
34,3,153.17,351.57,132.20,68.20,1,1,1
35,1,210.13,251.51,92.51,40.86,1,1,1
35,3,128.85,357.12,136.47,68.20,1,1,1
36,1,210.13,251.53,92.53,40.93,1,1,1
36,3,104.53,362.67,140.74,68.20,1,1,1
37,1,210.13,251.55,92.56,40.99,1,1,1
37,3,77.23,366.93,145.85,70.34,1,1,1
38,1,210.13,251.57,92.58,41.06,1,1,1
38,3,49.92,371.20,150.97,72.47,1,1,1
39,1,210.13,251.59,92.60,41.12,1,1,1
39,3,29.23,374.83,147.77,75.24,1,1,1
40,1,210.13,251.62,92.62,41.18,1,1,1
40,3,15.15,377.81,136.25,78.66,1,1,1
41,1,210.13,251.64,92.64,41.24,1,1,1
41,3,1.00,380.80,124.80,82.07,1,1,1
42,1,210.13,251.66,92.66,41.31,1,1,1
42,3,1.00,384.64,97.92,81.64,1,1,1
43,1,210.13,251.68,92.68,41.37,1,1,1
43,3,1.00,388.48,71.04,81.21,1,1,1
44,1,210.13,251.70,92.70,41.44,1,1,1
45,1,210.13,251.72,92.73,41.50,1,1,1
46,1,210.12,251.74,92.75,41.54,1,1,1
47,1,210.10,251.77,92.77,41.53,1,1,1
48,1,210.08,251.79,92.79,41.53,1,1,1
49,1,210.06,251.81,92.81,41.53,1,1,1
50,1,210.04,251.83,92.83,41.53,1,1,1
51,1,210.02,251.85,92.85,41.53,1,1,1
52,1,209.99,251.87,92.88,41.54,1,1,1
53,1,209.97,251.89,92.90,41.54,1,1,1
54,1,209.95,251.91,92.92,41.54,1,1,1
54,4,930.35,220.80,28.65,72.25,1,1,1
55,1,209.93,251.94,92.94,41.53,1,1,1
55,4,928.64,220.80,30.36,73.96,1,1,1
56,1,209.91,251.96,92.96,41.53,1,1,1
56,4,926.93,220.80,32.07,75.67,1,1,1
57,1,209.89,251.98,92.98,41.53,1,1,1
57,4,922.67,221.65,36.33,72.68,1,1,1
58,1,209.87,252.00,93.00,41.53,1,1,1
58,4,918.40,222.51,40.60,69.69,1,1,1
